,date,diamond price,inflation rate,interest rate,fed rate,gold price
47,2021-04-18,10207.65,,,0.07,1779.5
48,2021-04-17,10203.66,,,0.07,1782.5
49,2021-04-16,10202.06,2.36,-0.77,0.07,1782.5
50,2021-04-15,10199.11,2.33,-0.77,0.07,1763.6
51,2021-04-14,10193.51,2.33,-0.69,0.07,1737.1
52,2021-04-13,10193.1,2.33,-0.69,0.07,1744.3
53,2021-04-12,10182.95,2.33,-0.64,0.07,1733.4
54,2021-04-11,10175.64,,,0.07,1744.1
55,2021-04-10,10175.67,,,0.07,1744.1
56,2021-04-09,10172.99,2.31,-0.64,0.07,1744.1
57,2021-04-08,10170.01,2.33,-0.69,0.07,1756.38
58,2021-04-07,10167.26,2.34,-0.66,0.07,1737.65
59,2021-04-06,10164.47,2.32,-0.65,0.07,1744.15
60,2021-04-05,10161.57,2.35,-0.62,0.07,1728.1
61,2021-04-04,10162.35,,,0.07,1729.8
62,2021-04-03,10156.21,,,0.07,
63,2021-04-02,10153.34,2.36,-0.64,0.07,1729.8
64,2021-04-01,10155.28,2.35,-0.66,0.07,1729.8
65,2021-03-31,10152.17,2.37,-0.63,0.06,1707.2
66,2021-03-30,10152.62,2.35,-0.62,0.07,1685.25
67,2021-03-29,10159.18,2.36,-0.63,0.07,1712.3
68,2021-03-28,10153.67,,,0.07,1720.5
69,2021-03-27,10150.17,,,0.07,
70,2021-03-26,10146.98,2.34,-0.67,0.07,1731.93
71,2021-03-25,10147.22,2.32,-0.69,0.07,1727.6
72,2021-03-24,10141.22,2.31,-0.69,0.07,1734.2
73,2021-03-23,10138.39,2.29,-0.66,0.07,1727.5
74,2021-03-22,10135.19,2.33,-0.64,0.07,1739.55
75,2021-03-21,10131.97,,,0.07,1739.9
76,2021-03-20,10127.09,,,0.07,1749.6
77,2021-03-19,10123.84,2.31,-0.57,0.07,1749.6
78,2021-03-18,10118.14,2.27,-0.56,0.07,1736.6
79,2021-03-17,10116.9,2.3,-0.67,0.07,1747.71
80,2021-03-16,10112.05,2.3,-0.68,0.07,1732.1
81,2021-03-15,10105.56,2.27,-0.65,0.07,1731.2
82,2021-03-14,10100.82,,,0.07,1726.85
83,2021-03-13,10097.9,,,0.07,
84,2021-03-12,10098.87,2.26,-0.62,0.07,1726.85
85,2021-03-11,10091.85,2.28,-0.74,0.07,1722.77
86,2021-03-10,10076.72,2.26,-0.73,0.07,1726.65
87,2021-03-09,10071.02,2.21,-0.66,0.07,1715.9
88,2021-03-08,10071.24,2.21,-0.62,0.07,1684.55
89,2021-03-07,10070.32,,,0.07,1700.8
90,2021-03-06,10070.34,,,0.07,1700.8
91,2021-03-05,10074.11,2.22,-0.66,0.07,1700.8
92,2021-03-04,10067.02,2.2,-0.66,0.07,1698.39
93,2021-03-03,10065.01,2.21,-0.74,0.07,1709.86
94,2021-03-02,10065.4,2.2,-0.78,0.07,1738.1
95,2021-03-01,10064.65,2.16,-0.71,0.07,1724.7
96,2021-02-28,10065.89,,,0.07,1734.4
97,2021-02-27,10064.5,,,0.07,
98,2021-02-26,10060.14,2.15,-0.71,0.07,1734.4
99,2021-02-25,10052.9,2.14,-0.6,0.07,1769.9
100,2021-02-24,10044.2,2.17,-0.79,0.07,1805.0
101,2021-02-23,10046.2,2.16,-0.79,0.07,1805.6
102,2021-02-22,10043.36,2.16,-0.79,0.07,1809.95
103,2021-02-21,10034.65,,,0.07,1794.4
104,2021-02-20,10031.81,,,0.07,
105,2021-02-19,10033.78,2.14,-0.8,0.07,1784.05
106,2021-02-18,10037.39,2.16,-0.87,0.07,1775.7
107,2021-02-17,10035.86,2.21,-0.92,0.08,1776.35
108,2021-02-16,10030.11,2.24,-0.94,0.08,1794.95
109,2021-02-15,10024.47,,,0.08,1818.85
110,2021-02-14,10014.51,,,0.08,1822.43
111,2021-02-13,10013.64,,,0.08,1822.43
112,2021-02-12,10012.5,2.21,-1.01,0.08,1822.43
113,2021-02-11,10006.63,2.2,-1.04,0.08,1826.5
114,2021-02-10,10003.54,2.21,-1.06,0.08,1843.4
115,2021-02-09,9994.95,2.22,-1.04,0.08,1838.95
116,2021-02-08,9989.18,2.22,-1.03,0.07,1831.26
117,2021-02-07,9978.76,,,0.08,1810.8
118,2021-02-06,9974.91,,,0.08,
119,2021-02-05,9967.93,2.21,-1.02,0.08,1810.8
120,2021-02-04,9962.4,2.17,-1.02,0.08,1794.0
121,2021-02-03,9955.06,2.19,-1.04,0.08,1833.85
122,2021-02-02,9952.17,2.15,-1.03,0.08,1837.9
123,2021-02-01,9950.1,2.11,-1.02,0.08,1860.0
124,2021-01-31,9942.39,,,0.07,1874.0
125,2021-01-30,9935.34,,,0.07,
126,2021-01-29,9931.86,2.13,-1.02,0.07,1847.76
127,2021-01-28,9928.98,2.13,-1.06,0.07,1842.9
128,2021-01-27,9926.88,2.08,-1.04,0.08,1844.91
129,2021-01-26,9922.93,2.08,-1.03,0.08,1850.8
130,2021-01-25,9919.07,2.08,-1.03,0.08,1855.9
131,2021-01-24,9914.68,,,0.08,1852.75
132,2021-01-23,9915.5,,,0.08,
133,2021-01-22,9911.89,2.09,-0.99,0.08,1855.9
134,2021-01-21,9909.56,2.1,-0.98,0.08,1869.65
135,2021-01-20,9904.69,2.12,-1.02,0.09,1870.53
136,2021-01-19,9900.91,2.1,-1.0,0.09,1840.3
137,2021-01-18,9893.67,,,0.09,1836.9
138,2021-01-17,9894.55,,,0.09,1827.5
139,2021-01-16,9892.7,,,0.09,
140,2021-01-15,9888.39,2.1,-0.99,0.09,1828.45
141,2021-01-14,9884.31,2.09,-0.94,0.09,1846.1
142,2021-01-13,9876.1,2.06,-0.96,0.09,1845.37
143,2021-01-12,9868.29,2.08,-0.93,0.09,1855.0
144,2021-01-11,9862.71,2.06,-0.91,0.09,1842.51
145,2021-01-10,9855.28,,,0.09,1848.88
146,2021-01-09,9851.34,,,0.09,
147,2021-01-08,9841.72,2.06,-0.93,0.09,1848.88
148,2021-01-07,9836.43,2.09,-1.01,0.09,1913.05
149,2021-01-06,9836.43,2.06,-1.02,0.09,1919.05
150,2021-01-05,9829.49,2.03,-1.07,0.09,1949.48
151,2021-01-04,9814.61,2.01,-1.08,0.09,1942.14
152,2021-01-03,9817.44,,,0.09,1898.66
153,2021-01-02,9813.46,,,0.09,
154,2021-01-01,9813.69,,,0.09,
155,2020-12-31,9812.21,1.99,-1.06,0.09,1897.7
156,2020-12-30,9812.21,1.96,-1.03,0.09,1894.7
157,2020-12-29,9813.69,1.96,-1.02,0.09,1877.89
158,2020-12-28,9802.3,1.97,-1.03,0.09,1873.45
159,2020-12-27,9802.94,,,0.09,1908.7
160,2020-12-26,9802.6,,,0.09,
161,2020-12-25,9801.17,,,0.09,1908.7
162,2020-12-24,9799.22,1.97,-1.03,0.09,1857.2
163,2020-12-23,9800.97,1.97,-1.01,0.09,1872.33
164,2020-12-22,9802.71,1.94,-1.01,0.09,1860.99
165,2020-12-21,9801.41,1.95,-1.0,0.09,1877.05
166,2020-12-20,9799.26,,,0.09,1867.47
167,2020-12-19,9797.04,,,0.09,
168,2020-12-18,9788.17,1.95,-1.0,0.09,1882.43
169,2020-12-17,9783.73,1.94,-1.0,0.09,1885.65
170,2020-12-16,9783.31,1.92,-1.0,0.09,1865.35
171,2020-12-15,9787.98,1.91,-0.99,0.09,1853.5
172,2020-12-14,9790.6,1.88,-0.98,0.09,1828.0
173,2020-12-13,9789.82,,,0.09,
174,2020-12-12,9788.01,,,0.09,
175,2020-12-11,9789.49,1.87,-0.97,0.09,1838.53
176,2020-12-10,9792.15,1.88,-0.96,0.09,1836.4
177,2020-12-09,9794.1,1.91,-0.96,0.09,1839.8
178,2020-12-08,9795.49,1.89,-0.97,0.09,1869.5
179,2020-12-07,9794.39,1.88,-0.94,0.09,1861.4
180,2020-12-06,9789.05,,,0.09,
181,2020-12-05,9786.78,,,0.09,
182,2020-12-04,9784.07,1.89,-0.92,0.09,1839.54
183,2020-12-03,9782.11,1.86,-0.94,0.09,1841.5
184,2020-12-02,9771.59,1.85,-0.9,0.09,1831.05
185,2020-12-01,9773.41,1.81,-0.89,0.09,1814.8
186,2020-11-30,9774.99,1.77,-0.93,0.09,1777.1
187,2020-11-29,9770.82,,,0.08,1789.8
188,2020-11-28,9767.2,,,0.08,
189,2020-11-27,9759.0,1.75,-0.91,0.08,1788.5
190,2020-11-26,9751.21,,,0.08,1811.38
191,2020-11-25,9751.4,1.75,-0.87,0.08,1807.6
192,2020-11-24,9757.11,1.74,-0.86,0.08,1807.41
193,2020-11-23,9758.71,1.71,-0.85,0.08,1838.33
194,2020-11-22,9757.19,,,0.08,1870.14
195,2020-11-21,9751.49,,,0.08,1870.14
196,2020-11-20,9753.91,1.69,-0.86,0.08,1870.14
197,2020-11-19,9751.6,1.7,-0.84,0.08,1867.05
198,2020-11-18,9746.67,1.7,-0.82,0.09,1873.3
199,2020-11-17,9747.36,1.7,-0.83,0.09,1879.1
200,2020-11-16,9749.29,1.72,-0.81,0.09,1888.53
201,2020-11-15,9740.07,,,0.09,
202,2020-11-14,9737.25,,,0.09,
203,2020-11-13,9734.21,1.72,-0.83,0.09,1890.41
204,2020-11-12,9730.68,1.71,-0.83,0.09,1878.0
205,2020-11-11,9732.91,,,0.09,1865.98
206,2020-11-10,9735.15,1.76,-0.78,0.09,1877.79
207,2020-11-09,9725.84,1.73,-0.77,0.09,1861.68
208,2020-11-08,9721.35,,,0.09,1958.2
209,2020-11-07,9721.33,,,0.09,
210,2020-11-06,9713.3,1.65,-0.82,0.09,1951.25
211,2020-11-05,9713.1,1.66,-0.87,0.09,1949.35
212,2020-11-04,9708.27,1.64,-0.86,0.09,1904.25
213,2020-11-03,9704.72,1.72,-0.82,0.09,1909.32
214,2020-11-02,9698.62,1.71,-0.84,0.09,1894.45
215,2020-11-01,9698.96,,,0.09,1878.95
216,2020-10-31,9689.93,,,0.09,1878.95
217,2020-10-30,9686.21,1.7,-0.82,0.09,1878.95
218,2020-10-29,9683.27,1.71,-0.86,0.09,1866.65
219,2020-10-28,9674.14,1.7,-0.91,0.09,1878.2
220,2020-10-27,9667.15,1.71,-0.92,0.09,1904.8
221,2020-10-26,9662.75,1.72,-0.91,0.09,1902.6
222,2020-10-25,9658.87,,,0.09,1896.65
223,2020-10-24,9655.51,,,0.09,
224,2020-10-23,9649.06,1.75,-0.9,0.09,1901.55
225,2020-10-22,9643.34,1.76,-0.89,0.09,1904.15
226,2020-10-21,9637.96,1.74,-0.91,0.09,1924.6
227,2020-10-20,9637.25,1.72,-0.91,0.09,1906.65
228,2020-10-19,9633.21,1.71,-0.93,0.09,1904.33
229,2020-10-18,9629.62,,,0.09,1899.4
230,2020-10-17,9621.39,,,0.09,
231,2020-10-16,9618.52,1.71,-0.95,0.09,1899.4
232,2020-10-15,9610.9,1.69,-0.95,0.09,1908.1
233,2020-10-14,9605.16,1.69,-0.96,0.09,1900.33
234,2020-10-13,9594.79,1.7,-0.96,0.09,1890.35
235,2020-10-12,9579.25,,,0.09,1922.94
236,2020-10-11,9563.9,,,0.09,1930.43
237,2020-10-10,9558.07,,,0.09,1930.43
238,2020-10-09,9551.08,1.73,-0.94,0.09,1930.43
239,2020-10-08,9547.61,1.72,-0.94,0.09,1893.95
240,2020-10-07,9545.14,1.71,-0.9,0.09,1887.3
241,2020-10-06,9539.48,1.66,-0.9,0.09,1878.3
242,2020-10-05,9534.51,1.68,-0.9,0.09,1913.45
243,2020-10-04,9528.85,,,0.09,1899.7
244,2020-10-03,9523.73,,,0.09,
245,2020-10-02,9517.39,1.64,-0.94,0.09,1899.7
246,2020-10-01,9516.35,1.63,-0.95,0.09,1906.0
247,2020-09-30,9512.68,1.63,-0.94,0.09,1885.95
248,2020-09-29,9513.91,1.64,-0.98,0.09,1897.81
249,2020-09-28,9509.9,1.61,-0.94,0.09,1880.98
250,2020-09-27,9505.65,,,0.09,1855.5
251,2020-09-26,9499.42,,,0.09,1861.05
252,2020-09-25,9491.32,1.58,-0.92,0.09,1861.05
253,2020-09-24,9491.85,1.58,-0.91,0.09,1868.69
254,2020-09-23,9487.61,1.6,-0.92,0.09,1863.4
255,2020-09-22,9487.04,1.62,-0.94,0.09,1900.2
256,2020-09-21,9480.65,1.62,-0.94,0.09,1912.35
257,2020-09-20,9475.6,,,0.09,1962.0
258,2020-09-19,9476.93,,,0.09,1962.0
259,2020-09-18,9472.45,1.67,-0.97,0.09,1951.33
260,2020-09-17,9467.78,1.66,-0.97,0.09,1944.98
261,2020-09-16,9461.64,1.68,-0.99,0.09,1959.75
262,2020-09-15,9458.68,1.67,-0.99,0.09,1953.88
263,2020-09-14,9458.68,1.65,-0.97,0.09,1956.7
264,2020-09-13,9451.8,,,0.09,1940.4
265,2020-09-12,9445.02,,,0.09,1940.4
266,2020-09-11,9440.84,1.65,-0.98,0.09,1940.4
267,2020-09-10,9435.34,1.69,-1.01,0.09,1946.35
268,2020-09-09,9434.94,1.71,-1.0,0.09,1946.5
269,2020-09-08,9432.4,1.68,-0.99,0.09,1931.35
270,2020-09-07,9429.71,,,0.09,1928.55
271,2020-09-06,9426.01,,,0.09,1933.83
272,2020-09-05,9419.89,,,0.09,
273,2020-09-04,9413.23,1.7,-0.98,0.09,1933.83
274,2020-09-03,9405.68,1.65,-1.02,0.09,1930.3
275,2020-09-02,9404.5,1.73,-1.07,0.09,1942.89
276,2020-09-01,9397.97,1.76,-1.08,0.09,1970.45
277,2020-08-31,9384.52,1.8,-1.08,0.09,1967.9
278,2020-08-30,9382.03,,,0.09,
279,2020-08-29,9377.2,,,0.09,1964.95
280,2020-08-28,9375.27,1.77,-1.03,0.09,1964.95
281,2020-08-27,9373.87,1.73,-0.99,0.08,1929.5
282,2020-08-26,9360.87,1.72,-1.03,0.09,1953.3
283,2020-08-25,9359.46,1.7,-1.01,0.09,1928.4
284,2020-08-24,9343.66,1.67,-1.02,0.09,1927.98
285,2020-08-23,9335.4,,,0.09,1947.5
286,2020-08-22,9330.36,,,0.09,
287,2020-08-21,9325.0,1.64,-1.0,0.09,1940.23
288,2020-08-20,9327.32,1.62,-0.97,0.09,1947.05
289,2020-08-19,9324.84,1.67,-0.99,0.09,1930.48
290,2020-08-18,9319.27,1.68,-1.01,0.09,2000.62
291,2020-08-17,9315.09,1.66,-0.97,0.1,1985.07
292,2020-08-16,9308.92,,,0.1,1947.04
293,2020-08-15,9304.38,,,0.1,1945.35
294,2020-08-14,9301.33,1.65,-0.94,0.1,1945.35
295,2020-08-13,9300.89,1.67,-0.96,0.1,1954.03
296,2020-08-12,9303.0,1.67,-0.98,0.1,1914.39
297,2020-08-11,9303.65,1.63,-0.99,0.1,1912.43
298,2020-08-10,9302.18,1.61,-1.02,0.1,2027.08
299,2020-08-09,9293.22,,,0.1,2035.99
300,2020-08-08,9291.25,,,0.1,2035.99
301,2020-08-07,9284.0,1.61,-1.04,0.1,2035.99
302,2020-08-06,9276.63,1.63,-1.08,0.1,2063.68
303,2020-08-05,9277.91,1.61,-1.06,0.1,2038.15
304,2020-08-04,9274.48,1.57,-1.05,0.1,2018.51
305,2020-08-03,9281.65,1.58,-1.02,0.1,1976.35
306,2020-08-02,9281.65,,,0.1,1975.9
307,2020-08-01,9295.29,,,0.1,1975.9
308,2020-07-31,9288.29,1.55,-1.0,0.1,1975.9
309,2020-07-30,9281.7,1.52,-0.97,0.1,1956.05
310,2020-07-29,9273.06,1.53,-0.95,0.1,1970.92
311,2020-07-28,9275.95,1.51,-0.92,0.1,1959.6
312,2020-07-27,9279.32,1.52,-0.9,0.1,1942.55
313,2020-07-26,9277.92,,,0.09,1901.65
314,2020-07-25,9279.18,,,0.09,1901.65
315,2020-07-24,9277.22,1.51,-0.92,0.09,1901.65
316,2020-07-23,9284.4,1.49,-0.9,0.09,1887.3
317,2020-07-22,9283.82,1.48,-0.88,0.09,1872.53
318,2020-07-21,9285.01,1.48,-0.87,0.1,1841.9
319,2020-07-20,9273.46,1.46,-0.84,0.1,1817.73
320,2020-07-19,9275.28,,,0.09,1809.9
321,2020-07-18,9278.93,,,0.09,1809.9
322,2020-07-17,9276.79,1.46,-0.82,0.09,1809.9
323,2020-07-16,9281.02,1.41,-0.79,0.1,1797.89
324,2020-07-15,9281.84,1.41,-0.77,0.1,1809.09
325,2020-07-14,9283.89,1.41,-0.78,0.09,1808.6
326,2020-07-13,9279.4,1.42,-0.78,0.09,1802.5
327,2020-07-12,9274.87,,,0.09,1799.3
328,2020-07-11,9272.28,,,0.09,1799.3
329,2020-07-10,9277.67,1.41,-0.76,0.09,1799.3
330,2020-07-09,9277.43,1.39,-0.77,0.09,1803.5
331,2020-07-08,9278.53,1.42,-0.75,0.09,1809.15
332,2020-07-07,9282.06,1.43,-0.78,0.09,1793.25
333,2020-07-06,9283.84,1.45,-0.76,0.09,1784.5
334,2020-07-05,9278.39,,,0.09,
335,2020-07-04,9276.46,,,0.09,1784.5
336,2020-07-03,9283.35,,,0.09,1774.91
337,2020-07-02,9281.9,1.41,-0.73,0.09,1773.03
338,2020-07-01,9287.89,1.37,-0.68,0.08,1769.99
339,2020-06-30,9296.15,1.34,-0.68,0.08,1779.55
340,2020-06-29,9303.69,1.34,-0.7,0.08,1770.4
341,2020-06-28,9308.3,,,0.08,1771.05
342,2020-06-27,9307.32,,,0.08,1771.05
343,2020-06-26,9308.38,1.32,-0.68,0.08,1771.05
344,2020-06-25,9311.19,1.33,-0.65,0.08,1762.14
345,2020-06-24,9319.21,1.33,-0.64,0.08,1762.6
346,2020-06-23,9327.81,1.38,-0.66,0.08,1769.1
347,2020-06-22,9332.95,1.34,-0.63,0.08,1754.7
348,2020-06-21,9333.95,,,0.09,1743.95
349,2020-06-20,9337.08,,,0.09,1743.95
350,2020-06-19,9332.38,1.3,-0.6,0.09,1743.95
351,2020-06-18,9331.32,1.28,-0.57,0.09,1721.95
352,2020-06-17,9337.31,1.26,-0.52,0.09,1726.63
353,2020-06-16,9341.82,1.27,-0.52,0.09,1728.57
354,2020-06-15,9341.68,1.23,-0.52,0.09,1725.75
355,2020-06-14,9344.27,,,0.08,1730.8
356,2020-06-13,9344.26,,,0.08,1730.8
357,2020-06-12,9340.76,1.21,-0.5,0.08,1730.8
358,2020-06-11,9347.43,1.21,-0.55,0.08,1726.3
359,2020-06-10,9370.58,1.27,-0.52,0.08,1737.07
360,2020-06-09,9370.45,1.26,-0.42,0.07,1714.5
361,2020-06-08,9372.33,1.28,-0.4,0.07,1698.51
362,2020-06-07,9370.03,,,0.07,1683.65
363,2020-06-06,9375.01,,,0.07,1683.65
364,2020-06-05,9388.86,1.27,-0.36,0.07,1683.65
365,2020-06-04,9380.21,1.22,-0.4,0.06,1713.39
366,2020-06-03,9368.34,1.21,-0.44,0.06,1698.1
367,2020-06-02,9375.56,1.18,-0.5,0.06,1727.99
368,2020-06-01,9376.03,1.18,-0.52,0.05,1739.98
369,2020-05-31,9386.6,,,0.05,
370,2020-05-30,9412.18,,,0.05,1730.35
371,2020-05-29,9411.74,1.15,-0.5,0.05,1730.35
372,2020-05-28,9405.87,1.18,-0.48,0.05,1720.05
373,2020-05-27,9408.61,1.14,-0.46,0.05,1708.8
374,2020-05-26,9405.21,1.13,-0.44,0.05,1711.78
375,2020-05-25,9405.4,,,0.05,1729.13
376,2020-05-24,9400.94,,,0.05,1736.69
377,2020-05-23,9401.26,,,0.05,1736.69
378,2020-05-22,9397.84,1.12,-0.46,0.05,1736.35
379,2020-05-21,9392.64,1.14,-0.46,0.05,1726.55
380,2020-05-20,9384.19,1.16,-0.48,0.05,1748.98
381,2020-05-19,9383.08,1.15,-0.45,0.05,1744.09
382,2020-05-18,9375.45,1.17,-0.44,0.05,1732.4
383,2020-05-17,9375.38,,,0.05,
384,2020-05-16,9363.32,,,0.05,1743.55
385,2020-05-15,9364.18,1.09,-0.45,0.05,1743.0
386,2020-05-14,9365.19,1.06,-0.43,0.05,1732.05
387,2020-05-13,9376.51,1.07,-0.43,0.05,1715.63
388,2020-05-12,9370.64,1.09,-0.4,0.05,1702.04
389,2020-05-11,9364.1,1.13,-0.4,0.05,1697.4
390,2020-05-10,9365.18,,,0.05,1702.65
391,2020-05-09,9369.24,,,0.05,1702.65
392,2020-05-08,9380.04,1.12,-0.43,0.05,1702.65
393,2020-05-07,9384.2,1.08,-0.45,0.05,1717.93
394,2020-05-06,9387.11,1.1,-0.38,0.05,1685.5
395,2020-05-05,9390.56,1.1,-0.44,0.05,1707.03
396,2020-05-04,9397.22,1.07,-0.43,0.05,1701.4
397,2020-05-03,9392.98,,,0.05,
398,2020-05-02,9397.02,,,0.05,
399,2020-05-01,9399.02,1.06,-0.42,0.05,1700.4
400,2020-04-30,9400.77,1.07,-0.43,0.05,1686.8
401,2020-04-29,9397.84,1.14,-0.51,0.04,1712.27
402,2020-04-28,9397.82,1.14,-0.52,0.04,1708.8
403,2020-04-27,9397.27,1.17,-0.5,0.04,1714.9
404,2020-04-26,9401.22,,,0.05,1734.41
405,2020-04-25,9404.44,,,0.05,
406,2020-04-24,9410.38,1.11,-0.51,0.05,1729.43
407,2020-04-23,9415.49,1.05,-0.44,0.04,1732.54
408,2020-04-22,9423.23,1.06,-0.43,0.05,1715.2
409,2020-04-21,9484.01,0.96,-0.38,0.05,1687.5
410,2020-04-20,9513.56,0.94,-0.31,0.05,1694.13
411,2020-04-19,9523.06,,,0.05,
412,2020-04-18,9527.48,,,0.05,
413,2020-04-17,9540.35,1.01,-0.36,0.05,1683.85
414,2020-04-16,9547.19,1.03,-0.42,0.05,1717.7
415,2020-04-15,9552.3,1.19,-0.56,0.05,1716.9
416,2020-04-14,9563.39,1.29,-0.53,0.05,1730.45
417,2020-04-13,9579.74,1.26,-0.5,0.05,1714.3
418,2020-04-12,9591.17,,,0.05,
419,2020-04-11,9586.8,,,0.05,
420,2020-04-10,9597.35,,,0.05,1696.9
421,2020-04-09,9599.88,1.23,-0.5,0.05,1683.89
422,2020-04-08,9599.67,1.19,-0.42,0.05,1646.0
423,2020-04-07,9593.05,1.17,-0.42,0.05,1648.96
424,2020-04-06,9591.16,1.14,-0.47,0.05,1664.7
425,2020-04-05,9594.34,,,0.05,1618.45
426,2020-04-04,9603.37,,,0.05,
427,2020-04-03,9601.75,1.08,-0.46,0.05,1618.45
428,2020-04-02,9608.49,1.03,-0.4,0.05,1614.3
429,2020-04-01,9611.54,0.91,-0.29,0.06,1595.05
430,2020-03-31,9612.0,0.87,-0.17,0.08,1571.0
431,2020-03-30,9609.78,0.95,-0.25,0.09,1623.58
432,2020-03-29,9607.45,,,0.1,1622.0
433,2020-03-28,9613.66,,,0.1,
434,2020-03-27,9609.65,0.94,-0.22,0.1,1623.5
435,2020-03-26,9615.15,1.07,-0.24,0.1,1631.8
436,2020-03-25,9617.54,1.07,-0.19,0.1,1611.8
437,2020-03-24,9621.26,0.97,-0.13,0.12,1630.65
438,2020-03-23,9623.12,0.8,-0.04,0.15,1566.05
439,2020-03-22,9622.71,,,0.15,1490.85
440,2020-03-21,9627.43,,,0.15,
441,2020-03-20,9641.16,0.75,0.17,0.15,1498.6
442,2020-03-19,9649.04,0.5,0.62,0.2,1467.4
443,2020-03-18,9658.41,0.63,0.55,0.25,1484.25
444,2020-03-17,9662.81,0.63,0.39,0.25,1537.15
445,2020-03-16,9672.38,0.73,0.0,0.25,1507.5
446,2020-03-15,9690.68,,,1.1,
447,2020-03-14,9695.47,,,1.1,
448,2020-03-13,9700.07,0.9,0.04,1.1,1529.3
449,2020-03-12,9706.94,0.92,-0.04,1.1,1574.8
450,2020-03-11,9706.52,0.96,-0.14,1.09,1638.35
451,2020-03-10,9712.17,1.0,-0.24,1.09,1653.8
452,2020-03-09,9717.43,0.99,-0.45,1.09,1673.6
453,2020-03-08,9717.56,,,1.09,1697.4
454,2020-03-07,9720.54,,,1.09,
455,2020-03-06,9728.24,1.31,-0.57,1.09,1673.75
456,2020-03-05,9725.68,1.4,-0.48,1.09,1672.28
457,2020-03-04,9727.49,1.46,-0.44,1.09,1636.85
458,2020-03-03,9735.76,1.45,-0.43,1.59,1640.95
459,2020-03-02,9743.2,1.41,-0.31,1.59,1589.8
460,2020-03-01,9746.04,,,1.58,
461,2020-02-29,9748.03,,,1.58,
462,2020-02-28,9753.36,1.41,-0.28,1.58,1585.85
463,2020-02-27,9747.38,1.53,-0.23,1.58,1645.3
464,2020-02-26,9758.61,1.54,-0.21,1.58,1640.9
465,2020-02-25,9766.9,1.53,-0.2,1.58,1634.95
466,2020-02-24,9771.57,1.59,-0.21,1.58,1659.35
467,2020-02-23,9770.55,,,1.58,1643.45
468,2020-02-22,9769.25,,,1.58,
469,2020-02-21,9769.36,1.61,-0.15,1.58,1643.45
470,2020-02-20,9765.71,1.63,-0.11,1.59,1619.75
471,2020-02-19,9762.87,1.65,-0.09,1.59,1611.35
472,2020-02-18,9757.1,1.65,-0.1,1.59,1601.6
473,2020-02-17,9759.69,,,1.58,1581.05
474,2020-02-16,9762.8,,,1.58,
